competition,date_scraped,season,team,player,points,try_scored,conversion,penalty_goal,drop_goal,carries,metres_made,clean_break,defender_beaten,offload,tackle,missed_tackle,turnovers_conceded,penalty_conceded,yellow_card,red_card,lineout_throws_won
United Rugby Championship,2026-07-12,2025/26,Dragons,Aaron Wainwright,15,3,,,,144,463,5,36,,130,15,7,5,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Adam Hastings,47,1,21,,,86,208,2,22,3,85,18,12,8,2,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Adre Smith,20,4,,,,57,124,2,3,2,98,16,6,11,2,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Aitzol King,5,1,,,,10,39,1,3,,7,,1,1,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Akker van der Merwe,5,1,,,,7,21,,,,4,1,1,1,,,14
United Rugby Championship,2026-07-12,2025/26,Leinster,Alan Spicer,,,,,,5,3,,,,7,,,2,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Albert Batista,,,,,,16,120,2,5,,22,6,4,2,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Alec Hepburn,,,,,,23,18,,2,1,46,10,2,5,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Aled Davies,5,1,,,,13,98,,3,2,42,7,8,1,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Alessandro Fusco,10,2,,,,47,149,,11,5,52,14,9,7,1,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Alessandro Garbisi,22,4,1,,,38,142,2,6,5,42,20,14,2,1,,2
United Rugby Championship,2026-07-12,2025/26,Benetton,Alessandro Izekor,,,,,,60,126,2,13,1,151,7,10,4,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Alessandro Ortombina,,,,,,53,58,,3,1,181,10,9,5,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Alex Craig,,,,,,77,62,,8,4,68,,1,7,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Alex Groves,,,,,,6,4,,,1,5,,1,,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Alex Kendellen,25,5,,,,47,122,2,5,1,96,10,3,7,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Alex Mann,15,3,,,,57,66,1,3,5,84,10,10,11,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Alex Nankivell,5,1,,,,147,456,5,50,11,116,11,11,6,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Alex Samuel,,,,,,81,55,1,3,2,95,9,8,6,1,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Alex Soroka,15,3,,,,55,89,2,3,,77,4,4,4,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Alex Usanov,,,,,,39,44,,2,,39,3,,3,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Ali Vermaak,,,,,,4,8,,,1,16,2,,1,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Ally Miller,,,,,,36,72,,2,,43,1,4,1,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Alulutho Tshakweni,,,,,,16,24,,,2,36,4,,4,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Alun Lawrence,,,,,,210,423,2,9,2,217,16,11,4,1,,1
United Rugby Championship,2026-07-12,2025/26,Sharks,Andre Esterhuizen,20,4,,,,143,472,3,48,13,48,7,19,5,,,1
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Andre-Hugo Venter,5,1,,,,137,317,1,28,4,136,15,6,6,,,159
United Rugby Championship,2026-07-12,2025/26,Leinster,Andrew Osborne,,,,,,28,175,5,7,4,13,6,6,5,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Andrew Porter,,,,,,25,35,,,,44,3,1,5,,,
