competition,date_scraped,season,group,rank,team,played,won,drawn,lost,points_diff,bonus_points,points,form
United Rugby Championship,2026-07-12,2025/26,,1,Glasgow Warriors,18,13,0,5,141,13,65,L-W-W-W-L
United Rugby Championship,2026-07-12,2025/26,,2,Leinster Rugby,18,12,0,6,145,15,63,W-W-W-W-W
United Rugby Championship,2026-07-12,2025/26,,3,DHL Stormers,18,12,1,5,160,10,60,L-W-L-D-W
United Rugby Championship,2026-07-12,2025/26,,4,Vodacom Bulls,18,12,0,6,160,11,59,L-W-W-W-W
United Rugby Championship,2026-07-12,2025/26,,5,Munster Rugby,18,11,0,7,20,11,55,L-W-L-W-W
United Rugby Championship,2026-07-12,2025/26,,6,Cardiff Rugby,18,11,0,7,-19,11,55,L-W-L-W-W
United Rugby Championship,2026-07-12,2025/26,,7,Fidelity Securedrive Lions,18,10,1,7,59,12,54,L-L-L-W-W
United Rugby Championship,2026-07-12,2025/26,,8,Connacht Rugby,18,10,0,8,47,14,54,L-W-W-L-W
United Rugby Championship,2026-07-12,2025/26,,9,Ulster Rugby,18,9,1,8,74,14,52,L-D-L-L-W
United Rugby Championship,2026-07-12,2025/26,,10,Hollywoodbets Sharks,18,8,1,9,39,12,46,W-W-L-L-W
United Rugby Championship,2026-07-12,2025/26,,11,Ospreys,18,7,2,9,-78,7,39,L-W-L-W-L
United Rugby Championship,2026-07-12,2025/26,,12,Edinburgh Rugby,18,7,0,11,-77,10,38,L-W-W-W-L
United Rugby Championship,2026-07-12,2025/26,,13,Benetton Treviso,18,6,2,10,-166,5,33,L-L-W-L-L
United Rugby Championship,2026-07-12,2025/26,,14,Scarlets,18,4,2,12,-99,8,28,D-L-L-L-L
United Rugby Championship,2026-07-12,2025/26,,15,Dragons,18,3,4,11,-131,8,28,D-L-W-L-L
United Rugby Championship,2026-07-12,2025/26,,16,Zebre Rugby,18,2,0,16,-275,7,15,L-L-L-L-L
Nations Championship,2026-07-12,2026,North,1,Ireland,2,2,0,0,18,2,10,W-W
Nations Championship,2026-07-12,2026,North,2,France,2,1,0,1,14,3,7,W-L
Nations Championship,2026-07-12,2026,North,3,Scotland,2,1,0,1,-5,2,6,L-W
Nations Championship,2026-07-12,2026,North,4,England,2,1,0,1,41,1,5,W-L
Nations Championship,2026-07-12,2026,North,5,Wales,2,1,0,1,1,1,5,L-W
Nations Championship,2026-07-12,2026,North,6,Italy,2,0,0,2,-47,0,0,L-L
Nations Championship,2026-07-12,2026,South,1,South Africa,2,2,0,0,38,2,10,W-W
Nations Championship,2026-07-12,2026,South,2,New Zealand,2,2,0,0,32,2,10,W-W
Nations Championship,2026-07-12,2026,South,3,Argentina,2,1,0,1,5,2,6,W-L
Nations Championship,2026-07-12,2026,South,4,Japan,2,1,0,1,1,0,4,L-W
Nations Championship,2026-07-12,2026,South,5,Australia,2,0,0,2,-18,3,3,L-L
Nations Championship,2026-07-12,2026,South,6,Fiji,2,0,0,2,-80,0,0,L-L
World Rugby Nations Cup,2026-07-12,2026,Pool A,1,Georgia,2,2,0,0,28,1,9,W-W
World Rugby Nations Cup,2026-07-12,2026,Pool A,2,Portugal,2,1,0,1,23,3,7,W-L
World Rugby Nations Cup,2026-07-12,2026,Pool A,3,Spain,2,1,1,0,13,1,7,W-D
World Rugby Nations Cup,2026-07-12,2026,Pool A,4,Romania,2,0,1,1,-17,2,4,D-L
World Rugby Nations Cup,2026-07-12,2026,Pool A,5,Zimbabwe,2,0,0,2,-26,1,1,L-L
World Rugby Nations Cup,2026-07-12,2026,Pool A,6,Hong Kong,2,0,0,2,-68,0,0,L-L
World Rugby Nations Cup,2026-07-12,2026,Pool B,1,Chile,2,2,0,0,38,2,10,W-W
World Rugby Nations Cup,2026-07-12,2026,Pool B,2,USA,2,2,0,0,17,1,9,W-W
World Rugby Nations Cup,2026-07-12,2026,Pool B,3,Samoa,2,1,0,1,26,1,5,L-W
World Rugby Nations Cup,2026-07-12,2026,Pool B,4,Tonga,2,1,0,1,-3,1,5,L-W
World Rugby Nations Cup,2026-07-12,2026,Pool B,5,Uruguay,2,0,1,1,-7,3,5,D-L
World Rugby Nations Cup,2026-07-12,2026,Pool B,6,Canada,2,0,1,1,-24,1,3,L-D
United Rugby Championship,2026-07-13,2025/26,,1,Glasgow Warriors,18,13,0,5,141,13,65,L-W-W-W-L
United Rugby Championship,2026-07-13,2025/26,,2,Leinster Rugby,18,12,0,6,145,15,63,W-W-W-W-W
United Rugby Championship,2026-07-13,2025/26,,3,DHL Stormers,18,12,1,5,160,10,60,L-W-L-D-W
United Rugby Championship,2026-07-13,2025/26,,4,Vodacom Bulls,18,12,0,6,160,11,59,L-W-W-W-W
United Rugby Championship,2026-07-13,2025/26,,5,Munster Rugby,18,11,0,7,20,11,55,L-W-L-W-W
United Rugby Championship,2026-07-13,2025/26,,6,Cardiff Rugby,18,11,0,7,-19,11,55,L-W-L-W-W
United Rugby Championship,2026-07-13,2025/26,,7,Fidelity Securedrive Lions,18,10,1,7,59,12,54,L-L-L-W-W
United Rugby Championship,2026-07-13,2025/26,,8,Connacht Rugby,18,10,0,8,47,14,54,L-W-W-L-W
United Rugby Championship,2026-07-13,2025/26,,9,Ulster Rugby,18,9,1,8,74,14,52,L-D-L-L-W
United Rugby Championship,2026-07-13,2025/26,,10,Hollywoodbets Sharks,18,8,1,9,39,12,46,W-W-L-L-W
