Player,Rank,Team,carries,clean-break,conversion,defender-beaten,drop-goal,lineout-steals,lineout-throws-won,lineouts-lost,metres-made,missed-tackle,offload,penalty-conceded,penalty-goal,points,red-card,scrums-lost,scrums-won,tackle,try-scored,turnover-won,turnovers-conceded,yellow-card
,1,Vodacom Bulls,"2,546",141,92,467,,13,244,30,"10,878",400,212,191,16,640,,6,129,"2,557",91,109,317,15
,2,Leinster,"2,741",125,76,411,,21,248,24,"8,882",393,171,197,10,630,2,11,113,"2,598",92,89,298,17
,3,DHL Stormers,"2,410",113,61,556,,21,294,27,"8,047",402,160,185,60,559,1,11,122,"2,242",67,83,276,17
,4,Lions,"1,861",109,56,404,,7,240,47,"7,210",389,200,163,26,542,2,8,111,"2,457",75,100,226,12
,5,Glasgow,"2,999",109,75,518,,17,283,29,"9,276",300,134,190,1,533,,9,100,"2,480",75,98,247,10
,6,Ulster,"2,179",100,64,426,,15,192,29,"7,745",361,145,177,8,494,2,14,92,"2,642",70,100,243,12
,7,Sharks,"1,812",87,50,378,,36,237,33,"6,405",322,123,167,7,467,1,5,113,"1,745",70,62,269,7
,8,Connacht,"2,779",104,60,422,,24,201,35,"8,111",369,129,187,14,463,1,8,117,"3,036",65,95,210,9
,9,Munster,"2,179",84,46,318,,15,226,30,"6,530",391,117,193,12,410,1,13,100,"2,810",60,113,251,10
,10,Ospreys,"2,047",91,53,342,,8,224,52,"6,211",343,108,169,7,376,2,17,97,"2,534",55,94,215,14
,11,Cardiff,"3,030",103,40,369,,12,233,43,"6,769",385,122,183,11,374,1,15,115,"2,752",55,104,244,13
,12,Edinburgh,"2,140",90,40,368,,17,232,36,"6,865",350,122,170,3,362,1,6,118,"2,626",57,86,236,9
,13,Scarlets,"1,954",73,38,314,,22,236,25,"5,753",375,129,207,11,361,1,10,92,"2,402",51,107,207,18
,14,Dragons,"1,974",69,44,369,,13,227,37,"5,741",298,56,188,15,350,1,9,98,"2,722",43,88,218,9
,15,Benetton,"1,923",88,33,335,,16,225,33,"6,341",419,140,170,25,327,1,10,85,"2,473",40,79,269,16
,16,Zebre,"1,576",59,35,289,,4,215,44,"4,992",332,126,182,15,312,3,14,98,"2,440",43,104,220,16
Sacha Feinberg-Mngomezulu,1,DHL Stormers,117,19,34,49,,,6,,762,21,9,8,17,169,,,,72,10,,32,
Chris William Smith,2,Lions,80,3,49,12,,,6,,321,21,15,6,17,154,,,,101,1,,15,
Handre Pollard,3,Vodacom Bulls,69,3,39,12,,,,,205,26,8,3,12,129,,,,85,3,,18,1
Dan Edwards,4,Ospreys,68,5,35,15,,,,,321,21,1,,5,110,,,,67,5,,13,1
Nathan Doak,5,Ulster,45,2,33,6,,,1,,223,20,2,4,7,97,,,,81,2,,9,1
Jacob Umaga,6,Benetton,95,6,20,17,,,,,496,27,7,1,17,96,1,,,72,1,,21,
Sam Prendergast,7,Leinster,72,4,30,16,,,,,353,23,7,2,5,95,,,,66,4,,21,
Angus O'Brien,8,Dragons,107,3,25,28,,,1,,508,19,2,4,13,94,,,,37,1,,24,
Jurie Matthee,9,DHL Stormers,47,7,14,19,,,,,279,14,6,2,18,92,,,,42,2,,14,1
Sam Gilbert,10,Connacht,105,5,31,16,,,,,435,13,8,6,7,88,,,,39,1,,19,
George Horne,11,Glasgow,56,5,23,18,,,,,373,18,5,4,,76,,,,66,6,,8,
Harry Byrne,12,Leinster,48,2,27,11,,,1,,119,18,,4,4,76,,,,51,2,,7,
Jack Crowley,13,Munster,49,3,21,11,1,,1,,196,9,2,2,3,64,,,,75,2,,14,1
Callum Sheedy,14,Cardiff,54,4,23,14,,,1,,200,18,8,1,6,64,,,,89,,,8,
Embrose Papier,15,Vodacom Bulls,65,10,,31,,,,,462,17,10,5,,60,,,,73,12,,13,
Evan Roos,16,DHL Stormers,185,6,,40,,,,,622,27,10,21,,60,,,,173,12,,23,
Sean Naughton,17,Connacht,73,7,15,12,,,,,215,15,1,2,4,57,,,,43,3,,6,
Zac Ward,18,Ulster,124,20,,56,,,,,"1,113",18,6,7,,55,,,,53,11,,20,1
Johann Grobbelaar,19,Vodacom Bulls,119,3,,8,,,173,,281,18,2,9,,50,,,,195,10,,14,
Keagan Johannes,20,Vodacom Bulls,25,2,14,9,1,,,,216,2,1,,3,50,,,,22,2,,13,
Werner Kok,21,Ulster,91,11,,32,,,,,537,8,10,8,,50,,,,92,10,,32,
